pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.000793979,0.000614781,0.0820584,0.114194,-0.765618,0.538534,1.25889,-0.203426,1.24068,0.329425,0.669035,0.513857
0.00070501,0.000625684,0.0820855,0.607696,0.928158,-0.286474,1.22956,0.338187,-0.27366,0.9722,-0.482522,-0.276527
0.000696359,0.000663976,0.0816651,1.2011,0.800664,6.07506,0.694328,0.219264,3.16813,1.40674,0.0379488,5.8868
0.00079521,0.000531857,0.0820947,1.75321,1.42091,8.58805,0.714556,0.373956,3.16813,2.10225,0.617295,8.34971
0.000860904,0.000625286,0.0274073,-0.113454,0.851411,0.102673,-1.17485,0.495896,0.216683,-0.657431,-0.506555,0.102451
0.000711171,0.000537133,0.0267711,1.80958,-0.456187,4.22641,1.01681,-0.769603,2.99107,0.911226,-1.56342,4.10483
0.000761102,0.000600327,-0.025362,0.707565,2.96513,-0.891058,-0.00915727,1.27519,-0.403507,-0.749881,2.92337,-0.887741
0.00102634,0.000630598,0.0670107,-0.0865576,1.0532,1.74186,0.803537,0.990212,2.41778,1.00122,0.125353,1.70633
0.000657552,0.000601504,0.0370859,0.260407,-3.18953,6.41107,0.38871,-1.21454,2.61358,1.60775,-2.71741,6.31996
0.000741313,0.000626311,-0.0881922,0.498875,-0.834656,-1.1515,-0.402247,-1.21012,-1.79359,-0.860502,-0.348101,-1.0987
0.0006955,0.000611283,-0.0885389,-0.00350196,1.0647,2.11651,0.892304,0.91103,2.78144,0.992754,0.015955,2.04169
-0.000390584,0.00107864,-0.0396309,-0.310941,-0.737607,-0.223854,-1.27506,0.0199331,-0.49752,-0.268329,0.723499,-0.217285
0.000590589,6.4064e-05,-0.0250419,-0.820177,0.199542,-1.66473,-0.387361,1.21496,-3.05877,0.502968,0.587615,-1.57084
0.000528128,0.000555284,0.0323222,0.30476,-1.17217,5.99371,-0.0254977,-0.624397,3.16813,-0.37475,-1.09524,5.72341
0.00107977,0.0006093,-0.0892863,-0.0065048,-1.0389,-5.21574,-0.199269,-0.568069,-3.16813,-0.608172,-0.784444,-4.98692
0.000535413,-0.000395286,-0.0285153,1.56768,-0.292377,-9.24578,0.501858,-0.197331,-3.16813,1.32656,-0.827109,-9.06531
0.00253357,0.00592351,0.0657758,-0.901149,0.305126,0.730264,-0.43925,1.19718,1.18165,0.469026,0.789683,0.705929
-0.00120765,-0.00440154,-0.0367068,-1.32768,0.511216,-1.08917,-1.25514,-0.225409,-1.07037,-1.04256,-0.913382,-1.07352
-0.00387161,0.00562769,-0.0328365,-1.78918,-1.63818,1.56634,-1.15874,-0.532462,0.801991,-2.37532,-0.309052,1.54482
0.000733419,0.000606455,0.0663298,-0.426845,-1.01776,-1.89057,-1.14996,-0.55115,-2.31395,-1.01161,0.29743,-1.79829
0.00495827,0.00394882,0.0612802,0.990005,-1.25163,0.26167,1.16457,-0.519583,0.281412,1.5681,0.0868741,0.263921
-0.00172797,0.000533825,0.0356815,-0.05692,1.89145,-2.40002,0.457687,1.19026,-1.62661,1.2767,1.32097,-2.33457
0.0119823,-0.02795,0.0217415,-0.815668,-0.321245,-2.50402,-0.446623,-0.931937,-3.16813,0.19784,-0.739731,-2.23009
0.0204199,-0.00840421,-0.112446,0.419167,0.91695,-2.95068,0.854936,0.509681,-3.16813,0.924371,-0.018269,-2.74086
-0.000557112,0.0037452,0.0948154,-0.861483,-0.354674,-3.60445,-0.798894,0.106007,-3.16813,-0.699457,0.51505,-3.38476
0.00141859,0.000240086,-0.0861279,-0.772342,-1.45889,-8.19285,-0.164941,-0.593173,-3.16813,-0.103792,-1.57075,-7.82352
0.00233294,0.00189982,-0.0244919,1.03398,-1.29053,-7.78667,0.522323,-0.409779,-3.16813,1.45406,-0.704634,-7.59452
-0.01257,0.0191553,0.00879334,0.80446,0.577185,-3.99911,0.359149,0.688881,-3.16813,0.0723713,0.949707,-3.81581
-0.0184303,0.0123763,-0.309155,-0.630672,-1.0255,-0.762358,-1.19188,-0.453451,-1.16122,-1.12797,0.313805,-0.737003
0.0186422,0.00169485,0.0340766,0.0614986,-1.01347,-0.208892,-0.862397,-0.93939,-0.26356,-0.994402,0.00437367,-0.205622
-0.0105973,-0.00613053,0.0481773,0.454706,-0.764749,-1.31581,1.2722,-0.0876058,-2.19597,0.518776,0.672905,-1.27633
0.00473327,0.106569,0.0285244,0.829081,-0.0313334,0.14184,0.719094,1.05313,0.26719,-0.259719,0.770835,0.140088
-0.0016007,-0.00049718,0.0777834,-0.628996,1.33136,-0.0159873,-1.04506,0.730778,0.0630813,-1.45477,0.132058,-0.0163279
0.0058556,0.00227277,0.0565192,-0.266351,0.819436,1.07338,-1.24041,0.295906,1.98181,-0.558595,-0.588251,1.02676
0.00211073,-0.0914233,0.0331725,-0.803326,-0.0121054,1.52477,-0.604786,-1.12268,2.78931,0.362755,-0.645339,1.44673
0.00833946,-0.0433414,0.383842,1.05703,0.182057,1.64487,1.06987,-0.693958,2.4418,0.30242,-0.981551,1.55909
-0.11887,-0.0344432,0.0548077,0.314968,-1.07381,2.77275,-0.514116,-1.14006,3.16813,-0.850467,-0.59433,2.5979
-0.0554677,-0.00277968,-0.029288,0.124778,-2.05966,5.05044,-0.411991,-1.20684,3.10929,-1.17216,-1.61543,4.9051
-0.0332735,0.00121654,-0.0216513,-0.0903146,-5.13467,12.6677,-0.231238,-1.25408,3.12289,-1.48844,-4.98875,12.8404
0.0541747,-0.0279645,-0.000361765,-0.647574,-1.21216,3.37596,0.100604,-1.25749,3.16813,0.681467,-1.09578,3.1887
0.0959798,-0.0634853,0.0727087,-0.646484,-0.961284,2.82456,0.120322,-1.24884,3.16813,0.624527,-0.861041,2.63521
0.0443905,-0.0199377,-0.0166474,-0.593363,-1.26192,3.38943,0.150343,-1.26633,3.16218,0.742364,-1.07406,3.1784
0.000777747,9.92208e-05,0.065245,0.985242,0.0863299,2.98621,0.85518,-0.459922,3.16813,0.446804,-0.804985,2.80251
0.00452625,0.0176863,-0.0259545,-0.944567,0.210373,-1.91913,-1.03623,-0.743242,-2.87805,-0.0839123,-0.928519,-1.83122
0.0139856,-0.00846609,-0.0982103,1.07845,1.57732,-4.00421,1.06926,0.694899,-2.82271,1.84318,0.396944,-3.96424
0.00963726,-0.0557042,-0.466725,0.953006,0.151737,-1.94524,0.985896,-0.760856,-3.16813,0.142971,-0.843212,-1.75604
0.00177913,0.013408,0.00248209,-1.81216,0.149168,-4.88332,-1.04273,0.511299,-3.16813,-1.22842,1.25721,-4.71332
0.000694601,0.000568733,-0.032292,-27.5093,20.6798,-28.2194,-1.12069,0.772385,-1.1473,-0.629559,0.433896,-0.644507
