pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
2.22674,-0.114121,-1.50427,1.0,0.000687901,0.000601177,-0.0043368,electron,119696345
8.54847,-1.269,-0.0102715,-1.0,,,,muon,119696345
3.37636,-0.883103,2.61692,-1.0,,,,muon,119696345
8.07034,-0.634763,2.55342,1.0,,,,muon,119696345
3.2523,-1.17118,1.02288,1.0,,,,muon,119696345
1.22707,1.57278,1.29881,-1.0,,,,muon,119696345
1.24178,1.46939,1.30654,-1.0,,,,muon,119696345
1.27774,1.55013,1.30441,-1.0,,,,muon,119696345
7.14848,0.112243,0.175031,-1.0,0.000690648,0.000720764,-0.0277638,electron,119789737
5.53863,0.103286,0.187049,1.0,0.000688744,0.00072305,-0.0279088,electron,119789737
13.6657,0.0798283,0.255431,,0.000711164,0.000600407,-0.0275637,photon,119789737
10.6781,1.46558,-2.81462,1.0,,,,muon,119789737
12.2554,0.0562893,0.109561,-1.0,,,,muon,119789737
1.06397,2.06387,1.40331,1.0,,,,muon,119789737
0.852806,2.36054,-3.06624,1.0,,,,muon,119789737
0.772245,2.12097,1.50645,1.0,,,,muon,119789737
1.4377,1.61881,1.46721,1.0,,,,muon,119789737
6.46016,1.54434,-3.0726,-1.0,,,,muon,119825913
13.746,1.09198,0.121787,-1.0,,,,muon,119825913
3.45749,-0.141176,1.23911,-1.0,,,,muon,119825913
12.3018,-1.62312,2.61934,-1.0,,,,muon,119833617
2.85912,-1.27276,3.00138,1.0,,,,muon,119833617
0.988009,-2.0834,1.85796,-1.0,,,,muon,119833617
31.2702,1.84563,-0.785357,1.0,,,,muon,119894081
1.51322,1.37295,-2.02455,-1.0,,,,muon,119894081
10.6446,1.86497,-0.959995,-1.0,,,,muon,119894081
1.00386,1.87465,0.300078,-1.0,,,,muon,119894081
2.75275,1.90597,1.73049,1.0,,,,muon,119894081
2.73264,1.98811,1.7805,1.0,,,,muon,119894081
1.99249,2.40838,-1.08027,-1.0,,,,muon,119894081
2.606,1.30488,0.439082,1.0,,,,muon,119918625
1.62851,1.94598,0.676053,-1.0,,,,muon,119918625
0.952592,2.25831,2.11182,1.0,,,,muon,119918625
14.897,2.39762,2.80093,,0.00072269,0.000597528,-0.03068,photon,119978633
9.02723,2.34234,-1.49358,-1.0,,,,muon,119978633
1.65504,2.09064,-1.89366,-1.0,,,,muon,119978633
19.7787,-0.191978,-2.05877,-1.0,0.000651283,0.000634347,0.024878,electron,119986753
109.15,0.502158,1.00662,,0.000715501,0.000612989,0.0248592,photon,119986753
24.015,-0.264474,-2.05665,,0.000715501,0.000612989,0.0248592,photon,119986753
19.3818,-0.195843,-2.03221,,0.000715501,0.000612989,0.0248592,photon,119986753
28.7058,0.435156,1.00219,-1.0,,,,muon,119986753
11.0019,-0.290549,-2.02741,1.0,,,,muon,119986753
8.15153,0.202059,-2.4313,-1.0,,,,muon,119986753
1.26903,-1.71534,0.777875,1.0,,,,muon,119986753
1.06019,-2.19715,0.381708,1.0,,,,muon,119986753
34.7086,0.520044,1.0052,-1.0,,,,muon,119986753
1.06261,-2.19589,0.393974,1.0,,,,muon,119986753
1.26001,-2.28308,1.1469,-1.0,,,,muon,120059985
1.97251,2.27245,-1.83177,1.0,,,,muon,120059985
1.97548,1.67289,-1.96244,-1.0,,,,muon,120059985
1.57343,1.48108,-0.139853,1.0,,,,muon,120059985
1.90537,2.25714,-2.77353,-1.0,,,,muon,120059985
2.74402,2.05292,-2.36472,-1.0,,,,muon,120059985
2.34057,2.20122,-1.786,1.0,,,,muon,120059985
1.55218,-2.24951,2.3436,1.0,,,,muon,120059985
