pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id,et,theta,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,rp_x,rp_y,rp_z,calo_energy,chi2,ndof
15.0707,0.574814,1.5969,1.0,,,,,,,tau,Event_1203594102,,,1.76287,1.81953,1.30267,0.53473,0.1603,0.0864368,0.0864368,0.054719,,-999.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.87192,0.656163,-1.0991,-1.0,,,,,,,tau,Event_1203594102,,,4.11678,0.0,1.31544,0.721989,1.36251,1.09778,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7744,-0.766276,0.428855,1.0,,,,,,,tau,Event_1203594102,,,4.50201,0.0,0.0,1.0,0.0,0.0,0.0,0.145695,,-999.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.781551,-0.140023,-0.35538,-1.0,,,,,,,tau,Event_1203594102,,,0.598372,5.86238,0.874167,0.713759,3.07351,1.12628,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.82294,2.31404,1.33097,-1.0,,,,,,,tau,Event_1203594102,,,3.29312,6.52712,10.1264,0.395826,1.47212,1.0104,1.0104,0.925642,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.60035,2.00785,-1.29251,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,1.3044,0.269481,3.37968,1.15356,0.998863,1.24673,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.55953,-0.564332,-0.696114,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.26152,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.02364,1.29711,3.00236,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.581895,0.0,1.0,0.0,0.0,0.0,1.65538,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1799,-0.366159,2.10597,-1.0,,,,,,,tau,Event_1203594102,,,1.53237,0.0,1.01698,0.649932,0.999288,0.999288,0.999288,1.31305,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.93883,-0.931213,2.68452,1.0,,,,,,,tau,Event_1203594102,,,0.0,1.76922,1.84381,0.713326,0.765704,0.765704,0.0,1.90529,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
