pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
1.13119,-0.727478,1.42658,-1.0,0.00079267,0.000627628,-0.0586451,track,22109111
1.41988,-1.49426,1.53234,-1.0,0.000825013,0.000631826,0.0399948,track,22109111
1.2307,0.694785,1.52937,-1.0,0.000652761,0.000639163,0.0294304,track,22109111
0.810209,-1.00627,1.53857,-1.0,0.000657446,0.000640351,-0.00500038,track,22109111
1.23914,1.8966,1.55977,-1.0,0.00058963,0.000641027,-0.020726,track,22109111
1.28177,-0.984254,1.72027,1.0,0.000659559,0.000628014,0.068985,track,22109111
0.918137,1.57225,1.91461,1.0,0.000791015,0.000669009,0.0290038,track,22109111
2.87489,1.29368,1.96818,1.0,0.000653747,0.000619229,0.00347205,track,22109111
1.154,-1.26242,1.96189,-1.0,0.000748455,0.000660821,-0.0204745,track,22109111
0.839575,0.031779,2.18566,1.0,0.00066215,0.000612387,9.36873e-05,track,22109111
0.941302,-0.288332,2.28821,1.0,0.000732617,0.000667205,0.00354711,track,22109111
1.53271,1.90229,2.23741,-1.0,0.000709855,0.000650826,-0.030923,track,22109111
0.839033,-1.09008,2.23234,-1.0,0.000530398,0.000511113,-0.0317627,track,22109111
0.858964,0.981115,2.5084,1.0,0.000441746,0.00028873,-0.00604169,track,22109111
1.39605,-1.56538,2.49966,1.0,0.000771638,0.000730207,0.0290462,track,22109111
1.15235,-1.83257,2.67827,1.0,0.000834261,0.000908548,0.000304083,track,22109111
0.963956,0.40026,2.69591,1.0,0.000662301,0.000553845,0.0293323,track,22109111
1.03234,-1.33145,2.62088,-1.0,0.000701141,0.000622697,0.0894836,track,22109111
1.80846,1.44625,2.69923,1.0,0.00074803,0.000731473,0.0400862,track,22109111
0.866946,-1.13856,2.6281,-1.0,0.000653414,0.000556357,0.00356743,track,22109111
1.95509,0.728359,2.79269,1.0,0.000704455,0.000651416,0.00367512,track,22109111
1.07027,-1.48427,2.73772,-1.0,0.000667658,0.000564463,-0.000353233,track,22109111
1.24048,1.9929,2.74733,-1.0,0.000771843,0.000821277,-0.0313872,track,22109111
0.949002,1.87177,2.82365,-1.0,0.000683144,0.000588057,0.00359805,track,22109111
0.938146,0.179966,2.9542,1.0,0.000695719,0.000617042,0.00393296,track,22109111
1.16933,0.118098,2.88972,-1.0,0.000693435,0.000603598,0.0291004,track,22109111
1.10877,-1.82157,2.89624,-1.0,0.000707769,0.00067062,0.00338671,track,22109111
0.938409,1.10932,2.96109,-1.0,0.000710542,0.000683532,0.029174,track,22109111
0.970553,1.8196,3.02246,-1.0,0.000694502,0.000601839,-0.0052839,track,22109111
1.488,-0.305493,3.09911,1.0,0.000700928,0.000610016,0.0292541,track,22109111
1.11073,1.30314,3.05478,-1.0,0.000691737,0.000453174,0.0889463,track,22109111
0.919776,1.79097,-2.73171,1.0,0.000806619,0.000405453,0.0885124,track,22109111
1.81756,2.14366,-2.68067,-1.0,0.000785955,0.000472973,0.0677039,track,22109111
1.05342,2.31835,-2.33718,-1.0,0.000696129,0.000641903,-0.000569531,track,22109111
1.52803,2.25222,-0.437631,-1.0,0.000651337,0.000534941,0.00392323,track,22109111
1.65908,1.96209,0.00365482,1.0,0.000703284,0.000576346,0.0400165,track,22109111
1.09146,2.0099,0.975943,-1.0,0.00048663,0.000782624,0.00410523,track,22109111
1.07805,2.24945,1.74379,-1.0,0.000660464,0.000631713,0.00273615,track,22109111
1.21066,1.98336,2.60749,-1.0,0.000295694,-4.84653e-05,0.0220055,track,22109111
2.77244,2.00512,3.00518,-1.0,0.000716931,0.000702317,0.0894276,track,22109111
1.01765,-2.34031,-1.77893,1.0,7.98934e-05,0.000769379,-0.00372475,track,22109111
1.32178,-2.00534,-1.29841,-1.0,0.000930166,0.000707882,-0.0578758,track,22109111
1.19317,-2.17173,0.213552,-1.0,0.000814138,0.000108435,-0.00155512,track,22109111
1.42276,-2.03211,0.685278,1.0,0.000685432,0.000654795,-0.0193954,track,22109111
2.6465,-2.2733,0.817141,1.0,0.000772934,0.000569757,0.00224035,track,22109111
1.17574,-2.36892,1.38957,1.0,0.000553886,0.000663582,0.049716,track,22109111
1.12157,-2.17442,1.38613,-1.0,0.000970679,0.000588709,-0.0202548,track,22109111
1.38445,-2.40121,2.46806,-1.0,0.00077077,0.000713121,0.089162,track,22109111
1.20159,-2.54301,2.96616,-1.0,0.000698275,0.000581183,0.0901678,track,22109111
4.06724,-0.141019,-1.97793,1.0,0.000703012,0.000636729,0.0292511,track,22109111
1.18746,1.6023,-1.83265,1.0,0.000934541,0.000576611,-0.0311068,track,22109111
0.767654,1.09885,0.579989,-1.0,0.000654396,0.000707667,0.00243854,track,22109111
0.85912,-0.640707,2.56055,1.0,0.00064189,0.000550499,0.00312475,track,22109111
0.754465,0.0168897,-1.80841,1.0,0.000649435,0.000650749,0.00287128,track,22109111
1.19108,-1.13189,-0.297876,-1.0,0.00062676,0.000400572,0.00418972,track,22109111
0.788287,-1.0801,-0.0801729,-1.0,0.000692591,0.00055004,0.00302697,track,22109111
0.935644,-0.486693,0.66837,-1.0,0.000633343,0.000722665,0.00364755,track,22109111
2.31809,1.62435,1.70205,-1.0,0.000644249,0.000631191,0.00363629,track,22109111
2.62896,-0.97105,1.3646,-1.0,0.000679286,0.000642825,0.00349398,track,22109111
1.58195,-0.153095,-1.93807,-1.0,0.000480516,0.000722884,0.00357286,track,22109111
1.76955,-1.29327,1.06801,1.0,0.000502248,0.000747213,0.00101359,track,22109111
0.866722,1.55698,1.92556,1.0,0.000864111,0.000699532,0.00261352,track,22109111
1.00459,1.70731,-0.540694,-1.0,0.000875543,0.000931785,0.00135882,track,22109111
1.34047,2.02065,1.32565,-1.0,0.000895538,0.000589663,0.00270796,track,22109111
1.01543,-1.75108,-2.60556,1.0,0.00065101,0.000717098,-0.0319048,track,22109111
1.9721,-2.37605,0.652016,1.0,0.000672394,0.000672229,-0.0308123,track,22109111
1.23101,-0.657325,-0.0684056,-1.0,0.000698019,0.000577793,0.0293199,track,22109111
1.05963,1.3738,-1.15005,1.0,0.000909006,0.000729702,0.0291781,track,22109111
1.94049,-0.684769,-0.0155274,1.0,0.000701703,0.000613461,0.0291641,track,22109111
0.877038,0.320721,0.600301,-1.0,0.000628673,0.000740526,-0.0202847,track,22109111
1.73458,-0.939409,1.2401,-1.0,0.000712439,0.000634751,-0.0203896,track,22109111
0.762034,0.645451,2.29155,-1.0,0.000795695,0.000725993,-0.0201588,track,22109111
0.996024,0.258285,-0.153744,1.0,0.00071713,0.000765874,-0.0203167,track,22109111
1.31939,1.25004,1.51973,-1.0,0.00057755,0.000645967,-0.0203628,track,22109111
0.850819,1.8395,1.16477,1.0,0.000510054,0.00072038,-0.0189915,track,22109111
0.834597,-1.49151,-0.299377,-1.0,0.000434556,-0.000243337,0.0692021,track,22109111
0.834864,-0.507237,1.59848,-1.0,0.000779624,0.000636997,0.0690106,track,22109111
