pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
0.868537,0.933751,2.37753,-1.0,0.000716691,0.000599329,0.0449957,-0.491663,0.471115,0.732338,track,652620608
1.54063,1.27364,2.45308,1.0,0.000700242,0.000592023,-0.0476112,-0.400758,0.329759,0.854782,track,652620608
0.800166,0.128365,2.52765,1.0,0.000722403,0.000619303,-0.0475845,-0.810694,0.571382,0.127664,track,652620608
1.53596,0.472529,2.50395,-1.0,0.000705064,0.000579865,0.0449946,-0.721447,0.534511,0.440241,track,652620608
1.45932,0.684007,2.55706,-1.0,0.000727817,0.000608218,0.0565971,-0.670825,0.443866,0.594118,track,652620608
0.76267,-1.04678,2.86903,1.0,0.000723963,0.000620388,-0.0255366,-0.602015,0.168277,-0.780552,track,652620608
6.22328,0.480655,2.85641,-1.0,0.000718574,0.000609658,-0.0475531,-0.858516,0.251691,0.446768,track,652620608
0.873177,0.482122,2.91634,1.0,0.00071364,0.000541197,0.0537909,-0.871478,0.199688,0.447941,track,652620608
1.42608,0.00132718,2.95949,1.0,0.000714029,0.00055602,-0.0017645,-0.983464,0.181096,0.00132718,track,652620608
1.96414,-0.572823,2.96604,1.0,0.00072611,0.000647459,-0.0475742,-0.842573,0.149457,-0.51743,track,652620608
0.908647,1.71628,3.01024,-1.0,0.000729776,0.000652058,-0.00165481,-0.345218,0.0456062,0.937414,track,652620608
1.01335,0.0964946,3.03127,-1.0,0.000742185,0.000689893,0.0927165,-0.989311,0.109591,0.0961962,track,652620608
1.5085,1.14668,3.11126,1.0,0.000717261,0.000611826,-0.0832714,-0.576868,0.0175047,0.81665,track,652620608
1.82417,0.326506,-3.1296,1.0,0.000733334,0.000607476,0.0926741,-0.948898,-0.0113782,0.315378,track,652620608
1.64837,2.22809,-2.1213,1.0,0.000865129,0.000528096,-0.0477017,-0.111421,-0.181527,0.977053,track,652620608
1.62073,1.69949,1.77908,1.0,0.00061277,0.00058428,0.092726,-0.0731464,0.346092,0.935345,track,652620608
1.21221,1.81431,2.43581,-1.0,0.000751583,0.000636818,0.0569024,-0.241628,0.205919,0.948268,track,652620608
1.43919,1.79908,2.62583,1.0,0.000777979,0.000696181,0.0563622,-0.280186,0.158851,0.946711,track,652620608
1.22825,1.86184,2.91106,-1.0,0.000718998,0.000564995,0.0554503,-0.295419,0.0693376,0.952848,track,652620608
1.98825,-2.02122,0.56702,1.0,0.00068015,0.00068055,-0.0475971,0.219663,0.139875,-0.965496,track,652620608
6.02864,0.68877,0.0869994,1.0,0.000719824,0.000626623,-0.0476399,0.799066,0.0696942,0.597191,track,652620608
3.34598,0.897846,0.33966,-1.0,0.000723841,0.00060792,-0.0475367,0.658943,0.23284,0.715248,track,652620608
1.28412,-0.342449,2.02236,-1.0,0.000731455,0.0006221,-0.0477682,-0.411978,0.849469,-0.329662,track,652620608
1.53023,1.9488,-1.69692,-1.0,0.000886442,0.000595795,-0.0479214,-0.0351226,-0.277007,0.960226,track,652620608
1.16948,1.65777,-1.03039,-1.0,0.000854878,0.000692558,-0.00168112,0.189213,-0.315363,0.929916,track,652620608
