Name,Index,WasRun,Accept,Error,Objects
HLT_Mu13_Mu8_v19,169,1,1,0,-81/94 -81/95 83/2 83/3 83/2 83/3 83/4 83/5 83/5 
HLT_Mu17_Mu8_v19,170,1,1,0,-81/94 -81/95 83/2 83/3 83/2 83/3 83/4 83/5 83/5 
HLT_Mu17_TkMu8_v12,171,1,0,0,-81/94 -81/95 83/2 83/3 83/5 83/0 83/1 
HLT_Mu22_TkMu8_v7,172,1,0,0,
HLT_Mu22_TkMu22_v7,173,1,0,0,
HLT_TripleMu5_v18,174,1,0,0,
HLT_DoubleMu5_IsoMu5_v19,175,1,0,0,
HLT_Mu5_L2Mu3_Jpsi_v6,176,1,0,0,
HLT_Mu5_Track2_Jpsi_v20,177,1,0,0,
HLT_Mu5_Track3p5_Jpsi_v6,178,1,0,0,
HLT_Mu7_Track7_Jpsi_v19,179,1,0,0,
HLT_Photon20_CaloIdVL_v4,180,1,0,0,
HLT_Photon20_CaloIdVL_IsoL_v16,181,1,0,0,
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_v5,182,1,0,0,
HLT_Photon26_Photon18_v12,183,1,0,0,
HLT_Photon26_R9Id85_Photon18_R9Id85_Mass60_v4,184,1,0,0,
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,185,1,0,0,
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,186,1,0,0,
HLT_Photon26_CaloId10_Iso50_Photon18_CaloId10_Iso50_Mass60_v6,187,1,0,0,
HLT_Photon26_R9Id85_OR_CaloId10_Iso50_Photon18_R9Id85_OR_CaloId10_Iso50_Mass60_v6,188,1,0,0,
HLT_Photon26_R9Id85_OR_CaloId10_Iso50_Photon18_R9Id85_OR_CaloId10_Iso50_Mass70_v2,189,1,0,0,
HLT_Photon26_R9Id85_OR_CaloId10_Iso50_Photon18_v5,190,1,0,0,
HLT_Photon30_CaloIdVL_v14,191,1,0,0,
HLT_Photon30_CaloIdVL_IsoL_v19,192,1,0,0,
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_v5,193,1,0,0,
HLT_Photon36_Photon22_v6,194,1,0,0,
HLT_Photon36_R9Id85_Photon22_R9Id85_v4,195,1,0,0,
HLT_Photon36_R9Id85_Photon22_CaloId10_Iso50_v6,196,1,0,0,
HLT_Photon36_CaloId10_Iso50_Photon22_R9Id85_v6,197,1,0,0,
HLT_Photon36_CaloId10_Iso50_Photon22_CaloId10_Iso50_v6,198,1,0,0,
HLT_Photon36_R9Id85_OR_CaloId10_Iso50_Photon22_R9Id85_OR_CaloId10_Iso50_v6,199,1,0,0,
HLT_Photon36_R9Id85_OR_CaloId10_Iso50_Photon22_v5,200,1,0,0,
HLT_Photon50_CaloIdVL_v10,201,1,0,0,
HLT_Photon50_CaloIdVL_IsoL_v17,202,1,0,0,
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_v5,203,1,0,0,
HLT_Photon60_CaloIdL_MHT70_v9,204,1,0,0,
HLT_Photon60_CaloIdL_HT300_v2,205,1,0,0,
HLT_Photon70_CaloIdXL_PFNoPUHT400_v1,206,1,0,0,
HLT_Photon70_CaloIdXL_PFNoPUHT500_v1,207,1,0,0,
HLT_Photon70_CaloIdXL_PFMET100_v5,208,1,0,0,
HLT_Photon75_CaloIdVL_v13,209,1,0,0,
HLT_Photon75_CaloIdVL_IsoL_v18,210,1,0,0,
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_v5,211,1,0,0,
HLT_Photon90_CaloIdVL_v10,212,1,0,0,
HLT_Photon90_CaloIdVL_IsoL_v15,213,1,0,0,
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_v5,214,1,0,0,
HLT_DisplacedPhoton65_CaloIdVL_IsoL_PFMET25_v2,215,1,0,0,
HLT_DisplacedPhoton65EBOnly_CaloIdVL_IsoL_PFMET30_v2,216,1,0,0,
HLT_Photon135_v7,217,1,0,0,
HLT_Photon150_v4,218,1,0,0,
HLT_Photon160_v4,219,1,0,0,
HLT_Photon300_NoHE_v5,220,1,0,0,
HLT_DoublePhoton48_HEVT_v8,221,1,0,0,
HLT_DoublePhoton53_HEVT_v2,222,1,0,0,
HLT_DoublePhoton70_v6,223,1,0,0,
HLT_DoublePhoton80_v7,224,1,0,0,
HLT_DoublePhoton5_IsoVL_CEP_v16,225,1,0,0,
HLT_L1SingleEG5_v6,226,1,0,0,
HLT_L1SingleEG12_v6,227,1,0,0,
HLT_L1DoubleEG3_FwdVeto_v2,228,1,0,0,
HLT_L1ETM30_v2,229,1,0,0,
HLT_L1ETM40_v2,230,1,0,0,
HLT_L1ETM70_v2,231,1,0,0,
HLT_L1ETM100_v2,232,1,0,0,
HLT_Ele8_CaloIdT_TrkIdVL_v5,233,1,0,0,
HLT_Ele8_CaloIdT_TrkIdVL_EG7_v2,234,1,0,0,
HLT_Ele8_CaloIdT_TrkIdVL_Jet30_v5,235,1,0,0,
HLT_Ele8_CaloIdL_CaloIsoVL_v17,236,1,0,0,
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v15,237,1,0,0,
HLT_Ele17_CaloIdL_CaloIsoVL_v17,238,1,0,0,
HLT_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v6,239,1,0,0,
HLT_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v18,240,1,0,0,
HLT_Ele17_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_Ele8_Mass50_v6,241,1,0,0,
HLT_Ele20_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_SC4_Mass50_v6,242,1,0,0,
HLT_Ele22_CaloIdL_CaloIsoVL_v6,243,1,0,0,
