energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,event_id
87.8801,51.8682,-1.11907,2.60252,0.000757916,0.000614711,-0.00541788,0.404216,0.404216,0.0,16.0909,23.7582,28.5474,36.2662,12.0241,0.0209821,0.0201233,0.443688,0.655106,0.335235,9.85424,9.04715,9.04715,0.0,44.7224,44.7224,10,10,8.68394,7.19893,7.19893,0.0,42.8902,42.8902,9,9,Event_1096441666
20.9082,20.8138,0.0951893,1.19818,0.000719236,0.000609465,0.0375522,0.322064,0.322064,0.0,12.9834,14.3251,14.3859,15.2333,11.6697,0.0102126,0.0101713,0.852306,0.940384,0.686597,7.76721,0.907352,0.907352,0.0,13.2323,11.1913,6,5,5.52113,0.907352,0.907352,0.0,12.4106,10.3696,4,3,Event_1096445706
37.8726,12.9454,1.73606,-0.424497,0.000715369,0.000631326,0.0106983,0.445271,0.404703,0.0405677,12.4559,25.1434,25.3711,31.8987,7.25922,0.0210057,0.0396816,0.390483,0.788225,0.771245,10.7004,16.0863,10.6853,5.40105,31.1136,26.5798,10,9,10.5518,11.9127,7.35061,4.56205,28.426,23.8921,8,7,Event_1096452132
45.6632,13.9104,1.85775,-0.402923,0.000715369,0.000631326,0.0106983,0.299548,0.265503,0.0340446,9.62348,21.449,16.7754,23.0978,5.2764,0.0223939,0.035992,0.416641,0.928617,0.432906,11.7798,15.8975,10.4964,5.40105,27.6912,27.6912,9,9,11.4423,13.238,7.83694,5.40105,25.565,25.565,8,8,Event_1096452132
14.7686,9.98587,0.943351,-2.74026,0.000746147,0.000618341,-0.00436113,0.0,0.0,0.0,4.674,5.38786,5.13647,7.66234,3.90084,0.0193091,0.0196643,0.609996,0.703161,0.350621,24.6527,14.788,14.788,0.0,31.3967,31.3967,6,6,20.4324,13.8787,13.8787,0.0,31.1123,31.1123,5,5,Event_1096455614
88.5431,88.0161,-0.10938,-2.34881,0.000701431,0.000609586,-0.0274282,0.0,0.0,0.0,51.1563,74.6248,75.0353,78.5506,22.5556,0.00895655,0.00900416,0.651253,0.950023,0.844448,14.4899,5.43685,5.43685,0.0,29.5344,24.7585,8,7,11.9987,5.43685,5.43685,0.0,29.1965,24.4207,7,6,Event_119516329
48.3076,21.9245,-1.42713,0.782554,0.000701431,0.000609586,-0.0274282,0.0841251,0.0841251,0.0,24.3373,29.3728,25.54,32.2062,19.7347,0.0152051,0.015665,0.755672,0.912023,0.536433,8.19381,5.75178,5.75178,0.0,33.9598,15.8939,9,8,7.04809,2.32946,2.32946,0.0,33.5057,15.4397,8,7,Event_119516329
170.607,32.1013,-2.35464,-0.192364,0.000701431,0.000609586,-0.0274282,0.186783,0.161485,0.0252974,60.186,100.423,99.3691,147.539,27.227,0.0498903,0.0460306,0.407933,0.680654,0.620452,2.45333,8.54552,7.31462,1.2309,30.4843,17.3411,4,3,1.21324,5.8661,5.32275,0.543348,25.8511,12.7079,3,2,Event_119516329
63.8888,35.7259,-1.18506,-0.25338,0.000697714,0.000601399,0.0270038,0.142804,0.142804,0.0,25.1452,38.6725,38.0124,47.4444,11.1209,0.0146409,0.0149134,0.529994,0.815112,0.607422,8.62003,12.586,12.2223,0.363667,31.5424,25.3578,10,9,7.38747,10.5035,10.5035,0.0,27.9463,21.7618,7,6,Event_119639913
13.7855,12.2495,-0.495693,2.8375,0.000697714,0.000601399,0.0270038,0.0,0.0,0.0,7.35354,12.6985,8.54737,13.7391,3.12202,0.0113301,0.0114807,0.535225,0.924259,0.616512,21.7679,6.92938,6.92938,0.0,61.1321,61.1321,9,9,5.5806,1.92254,1.92254,0.0,21.4365,21.4365,4,4,Event_119639913
19.5843,10.9304,-1.18736,2.11844,0.000716143,0.000601436,0.0239597,0.0,0.0,0.0,8.90558,15.9832,13.9016,16.5805,5.93411,0.00871362,0.00890352,0.537113,0.963975,0.716214,7.29264,1.39677,1.39677,0.0,1.07918,1.07918,1,1,3.5672,1.04256,1.04256,0.0,1.07918,1.07918,1,1,Event_119672497
13.7092,13.6657,0.0798283,0.255431,0.000711164,0.000600407,-0.0275637,0.433946,0.433946,0.0,2.31105,2.68648,2.58907,6.11821,1.84948,0.0248166,0.0232243,0.377733,0.439096,0.187908,13.212,21.592,21.592,0.0,62.6356,62.6356,16,16,10.9994,14.6735,14.6735,0.0,62.6356,62.6356,16,16,Event_119789737
82.5879,14.897,2.39762,2.80093,0.00072269,0.000597528,-0.03068,0.126171,0.106239,0.0199322,52.6312,66.3824,63.9873,83.4622,37.0386,0.0379869,0.0337717,0.630599,0.795358,0.847554,0.833597,2.94355,2.69293,0.250616,0.0,0.0,0,0,0.391275,2.73868,2.48806,0.250616,0.0,0.0,0,0,Event_119978633
123.204,109.15,0.502158,1.00662,0.000715501,0.000612989,0.0248592,0.346629,0.346629,0.0,64.0692,94.0359,84.114,103.496,33.3899,0.0104212,0.0105487,0.619049,0.908593,0.683296,20.9287,2.26302,2.26302,0.0,83.3628,48.6541,6,5,16.0571,2.26302,2.26302,0.0,83.3628,48.6541,6,5,Event_119986753
24.8598,24.015,-0.264474,-2.05665,0.000715501,0.000612989,0.0248592,0.347084,0.347084,0.0,10.9591,15.9311,13.3585,16.7931,5.49727,0.00941606,0.00951466,0.652593,0.948669,0.53763,24.9024,19.8585,19.8585,0.0,41.698,30.6961,10,9,22.2228,10.905,10.905,0.0,40.4333,29.4313,9,8,Event_119986753
19.7547,19.3818,-0.195843,-2.03221,0.000715501,0.000612989,0.0248592,0.0,0.0,0.0,9.81258,11.7578,9.89498,14.9758,6.68308,0.0159397,0.0160429,0.655229,0.785118,0.502179,34.4155,31.153,31.153,0.0,45.2137,43.7975,12,11,31.1992,20.158,20.158,0.0,41.4799,40.0637,9,8,Event_119986753
20.675,14.268,0.915387,-2.49775,0.000720438,0.000604999,0.0219522,0.440143,0.440143,0.0,13.9445,16.1512,16.7456,18.8108,12.534,0.0157076,0.0161564,0.7413,0.858614,0.810659,8.24264,5.84018,5.84018,0.0,22.0817,17.2523,7,6,6.15917,5.84018,5.84018,0.0,21.628,16.7986,6,5,Event_120221473
99.1083,69.553,-0.892012,1.97903,0.000739621,0.000639016,-0.0473004,0.0,0.0,0.0,57.7919,75.5757,67.6993,82.6501,42.6111,0.011481,0.011661,0.699235,0.914405,0.689639,7.43834,4.26819,4.26819,0.0,7.59361,7.59361,3,3,5.70136,3.06338,3.06338,0.0,7.59361,7.59361,3,3,Event_1357605031
29.5977,27.52,0.386181,1.77246,0.000739621,0.000639016,-0.0473004,0.0,0.0,0.0,14.9791,25.9932,26.4516,28.2541,10.1663,0.011683,0.0116977,0.530159,0.919982,0.88878,13.1559,20.1556,20.1556,0.0,25.8722,25.8722,5,5,10.0515,17.546,17.546,0.0,25.8722,25.8722,5,5,Event_1357605031
24.1847,23.9664,-0.134851,-2.04755,0.000739621,0.000639016,-0.0473004,0.0472391,0.0472391,0.0,18.1859,19.4259,20.1785,21.0995,15.461,0.00964607,0.00971486,0.861914,0.920683,0.834779,1.78883,1.83152,1.83152,0.0,0.6837,0.6837,2,2,1.28596,1.83152,1.83152,0.0,0.6837,0.6837,2,2,Event_1357605031
