eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
0.572841,0.686929,0.653253,1,0.797777,3.11844,0.0,1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1203594102
-0.94772,0.266824,1.98292,-1,0.0,0.0,1.78077,0.0,1.27711,0.928455,0.928455,0.0,,-999.0,0,0,,,1,Event_1357605031
-0.12979,-2.05569,37.2101,-1,0.0,0.0,2.1187,0.890885,0.227027,0.16158,0.16158,1.85359,,-999.0,0,1,,,1,Event_1357605031
-1.69947,0.459144,1.26806,-1,0.0,0.0,1.05229,0.0,1.68769,0.703454,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
-1.85669,2.12879,0.891659,-1,0.757412,0.0,1.83594,0.159072,3.54989,1.90738,0.817747,0.671504,,-999.0,0,0,,,1,Event_1357605031
-2.02676,-1.60878,0.955244,-1,0.0,1.1962,0.640555,0.632666,0.716295,0.716295,0.716295,0.0,,-999.0,0,0,,,1,Event_1357605031
0.325762,-2.7496,22.7815,1,0.0,1.54113,0.0,1.0,0.0,0.0,0.0,0.0771892,,-999.0,0,1,,,1,Event_1357605031
1.3809,-2.76824,0.896677,1,1.78102,1.13315,1.21201,0.265545,3.8396,1.41474,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
-0.893951,1.98741,68.0484,1,8.16426,2.71263,2.96849,0.921052,1.2481,0.636586,0.0,14.561,,-999.0,0,0,,,1,Event_1357605031
-1.704,-0.454392,1.39263,-1,8.94769,2.0342,6.95638,0.219754,6.68762,4.54482,0.491825,1.88355,,-999.0,0,0,,,1,Event_1357605031
-2.44519,-0.400509,3.9904,-1,1.57518,15.2942,1.75554,0.773682,1.52233,0.700387,0.345172,1.91442,,-999.0,0,0,,,1,Event_1357605031
1.41396,-1.87932,38.0921,-1,10.424,6.72201,51.4511,0.396145,6.85281,5.64578,6.64578,3.78015,,-999.0,0,0,,,1,Event_1357605031
0.396839,1.76614,38.9929,1,15.0068,9.18009,9.24288,0.692159,1.88664,0.839828,0.924236,3.9365,,-999.0,0,0,,,1,Event_1357605031
1.14887,-0.501326,3.7397,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
0.765533,-1.80216,2.66913,1,2.83466,0.0,0.138124,0.544172,0.369615,0.369615,0.0,0.44125,,-999.0,0,0,,,1,Event_1357605031
-4.00802,-2.3148,6.05205,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-2.7468,-0.896155,6.69188,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
4.11858,-2.81208,5.88565,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
