pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof,event_id
0.000685122,0.000603421,-0.0631991,0.101642,-0.476694,0.873173,0.822052,-1.36072,1.34628,1,10.8146,8,Event_1203594102
0.000694196,0.000604643,-0.0633718,0.290522,-0.906332,0.306854,2.44439,-1.2606,0.317068,1,6.41617,10,Event_1203594102
0.000785307,0.000630351,0.0713395,0.186802,-0.439541,0.878583,0.850159,-1.16893,1.36952,1,23.9564,27,Event_1203594102
0.000733439,0.000625428,-0.0634392,0.411772,-0.71899,0.559908,1.55918,-1.05069,0.6327,-1,12.766,11,Event_1203594102
0.000741516,0.000638525,-0.0713365,0.392487,-0.519028,0.759318,0.995981,-0.923341,0.994603,1,3.15931,9,Event_1203594102
0.000686837,0.000585725,0.0399518,0.540262,-0.840991,0.0291792,1.07656,-0.999775,0.0291875,-1,21.2192,12,Event_1203594102
0.000687356,0.00058177,0.0633859,0.254168,-0.364385,-0.895892,1.58189,-0.961732,-1.45101,-1,30.0671,25,Event_1203594102
0.000725529,0.00063068,-0.063278,0.647809,-0.667219,-0.367645,1.06979,-0.800157,-0.385698,-1,15.7946,18,Event_1203594102
0.000633125,0.000505823,0.0397399,0.590089,-0.486793,-0.644071,1.06158,-0.689769,-0.7651,-1,12.1384,16,Event_1203594102
0.000721457,0.000613791,0.0718214,0.684606,-0.265364,0.678894,0.797261,-0.369785,0.827059,1,4.51469,7,Event_1203594102
0.000696768,0.000559139,0.0398343,0.928398,-0.344563,-0.139115,0.781551,-0.35538,-0.140023,-1,11.3766,14,Event_1203594102
0.000734699,0.000706821,-0.0633632,0.438397,-0.148057,0.886503,1.07884,-0.325697,1.40535,-1,16.6691,19,Event_1203594102
0.000668366,0.000503779,-0.0634541,0.429321,-0.135618,0.892912,0.822864,-0.305971,1.43611,-1,23.6228,12,Event_1203594102
0.00071324,0.000584702,0.0722014,0.587781,-0.119877,0.800089,0.767063,-0.20119,1.09886,-1,6.43416,13,Event_1203594102
0.000713851,0.000608821,0.0399484,0.961776,-0.150244,-0.228939,2.05072,-0.154963,-0.23307,-1,7.63089,7,Event_1203594102
0.000686829,0.000354782,-0.0636756,0.310511,-0.0173525,0.950411,0.974349,-0.0558256,1.83602,-1,13.7692,21,Event_1203594102
0.00070344,0.000567055,-0.0633129,0.676953,0.0427602,0.734783,1.33161,0.0630819,0.939045,-1,10.7325,14,Event_1203594102
0.000746366,0.000508556,0.0401266,0.547655,0.195454,-0.813555,0.913559,0.342802,-1.13745,1,8.32597,14,Event_1203594102
0.000704554,0.000598847,-0.0633716,0.695165,0.317854,-0.644759,20.7744,0.428855,-0.766276,1,13.8086,13,Event_1203594102
0.000697437,0.00061246,-0.0634541,0.800449,0.491348,-0.343306,3.16139,0.550534,-0.357836,-1,10.4628,18,Event_1203594102
0.000711161,0.000595421,-0.125081,0.601577,0.747519,-0.281639,0.973412,0.893157,-0.289462,-1,23.7571,19,Event_1203594102
0.000663268,0.000630554,-0.0633405,0.422648,0.66974,0.610588,0.797777,1.00785,0.709858,1,6.15757,12,Event_1203594102
0.000667561,0.000626113,0.0400039,0.34861,0.667136,-0.658332,1.79461,1.08927,-0.789864,1,23.3841,17,Event_1203594102
0.000763867,0.000581272,0.072219,0.349813,0.835052,0.42464,1.26843,1.17409,0.45334,1,5.29711,5,Event_1203594102
0.000624,0.00063151,-0.0969164,0.300052,0.940733,0.158086,0.900038,1.26204,0.159423,1,9.8184,16,Event_1203594102
0.000751354,0.000597284,-0.0634033,0.154454,0.818346,0.553583,1.16825,1.38425,0.623533,1,0.325528,3,Event_1203594102
0.000640587,0.000607901,-0.0629858,0.00503234,0.265387,0.964129,1.76323,1.55184,2.00143,-1,36.7201,37,Event_1203594102
0.000689889,0.000605245,-0.0633105,-0.0824153,0.587224,0.805218,0.798592,1.71023,1.11328,1,1.62066,5,Event_1203594102
0.000755418,0.000609158,0.0721427,-0.0799548,0.384022,-0.919856,1.02456,1.77607,-1.58809,1,46.758,44,Event_1203594102
