pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.000838667,0.00090612,0.030714,-1.02789,0.519802,4.62845,-0.757585,0.0662822,3.16813,-1.04874,-0.30757,4.4143
0.000545863,0.00076181,0.0049924,0.668744,0.883697,-5.44074,0.200194,0.610223,-3.16813,-0.000803876,1.07835,-5.23887
0.000631449,0.00060662,-0.00548401,-0.470373,0.879892,-5.78294,-0.0985911,0.532203,-3.16813,0.109647,0.964696,-5.59196
0.000693853,0.0006167,-0.00589954,-2.33437,0.621424,-13.8625,-0.544169,0.0724567,-3.16813,-2.37616,0.0173535,-13.6378
0.000705148,0.000558154,0.00522279,-1.6225,-0.0544648,3.97373,-1.10839,-0.590489,3.16813,-0.898758,-1.2247,3.69891
0.00070912,0.000637395,0.00528875,-0.904534,-1.04562,-1.33177,-1.21845,-0.376264,-1.28531,-1.31169,0.347637,-1.30367
0.000698612,0.000641164,0.00530275,-2.99931,5.23478,-1.48879,-0.494389,1.17549,-0.309896,-1.64924,5.78413,-1.48323
0.000705323,0.00064675,0.00523865,-3.97052,3.46135,-1.40514,-1.06756,0.697503,-0.336306,-4.74023,2.22247,-1.39778
0.000670128,0.000604333,0.00515091,-2.09919,1.7332,-0.723225,-1.16527,0.518019,-0.338551,-2.66808,0.388544,-0.718011
0.000584326,0.000754482,0.00493128,0.735589,0.78097,-3.78523,0.241177,0.828148,-3.16813,-0.176518,0.980728,-3.57726
0.000692311,0.00060288,0.0732109,2.5789,-1.21896,6.7094,0.977206,-0.81931,3.1049,1.62985,-2.25296,6.55147
0.000734024,0.000668651,0.0731539,-1.11218,0.936384,-1.14181,-1.25707,0.214426,-0.981964,-1.33226,-0.508241,-1.12631
0.000683825,0.000659063,0.073099,-0.756923,-1.02345,1.0423,-1.21095,-0.399732,1.1906,-1.18491,0.364247,1.02223
0.000717668,0.000637253,0.0732707,-0.313038,-0.946622,-1.40711,0.643139,-1.10116,-1.99801,0.910967,-0.171771,-1.34821
0.000727647,0.000649586,0.0732026,0.774301,-1.4215,1.22094,1.05224,-0.720398,1.06872,1.5715,-0.203255,1.1917
0.00068117,0.000594613,0.0738359,-2.54418,1.6146,14.4249,-0.498251,0.409435,3.16813,-2.05986,2.13488,14.2021
0.000747648,0.000699751,0.0301752,-0.74415,0.549189,0.0927012,-1.22295,-0.361355,0.170917,-0.310803,-0.846994,0.0845103
0.000845727,0.000624664,0.0301685,0.201162,1.62848,1.27138,-0.424057,1.20265,1.05786,-1.15553,1.10314,1.24488
0.000704453,0.000641955,0.0304738,-0.116696,1.23054,3.6699,-0.553026,0.841212,3.16813,-0.995465,0.558011,3.44338
0.000668117,0.000640203,-0.0412746,-0.23699,1.26854,0.51004,-0.90639,0.897026,0.504566,-1.24036,0.207258,0.50903
0.000643237,0.000638973,-0.00567891,-0.0805983,0.95917,0.513326,0.899591,0.90384,0.749184,0.932531,-0.0809626,0.485217
0.000722024,0.000507531,-0.0764972,1.65426,0.338907,10.8414,0.469764,0.182774,3.16813,1.42174,0.839935,10.604
0.000598247,0.000951578,-0.0188283,-0.815004,-0.269262,1.41172,-0.985976,0.808723,2.4457,0.100849,0.822768,1.35702
0.000735156,0.000641766,-0.0221761,0.170663,2.11285,-2.48974,0.53553,1.15733,-1.56079,1.4658,1.47202,-2.46516
0.000219196,0.000128697,0.0299317,1.46348,-1.38472,5.78595,0.525659,-0.940284,3.16813,0.418794,-1.91552,5.6388
0.00295559,0.00255588,0.0634719,-0.569086,0.667387,-1.76889,0.351899,1.2257,-2.96057,0.78522,0.259613,-1.69488
0.00348637,0.00486883,0.00921151,-0.949252,0.625291,-0.555624,-0.356822,1.22429,-0.658151,0.45202,1.01498,-0.534748
0.00488996,0.00849485,0.00846948,-1.33217,0.710434,-0.72431,-0.682748,1.07706,-0.627582,-0.0895287,1.47584,-0.708504
0.000370607,0.000426884,-0.054959,-0.640992,0.948941,-5.1684,-0.169662,0.650825,-3.16813,0.0762005,1.1041,-5.04513
0.00395841,0.00131604,0.0349244,-0.234284,1.12733,-6.11193,0.0586916,0.5923,-3.16813,0.409961,1.02266,-5.87195
0.000729883,0.000750021,-0.00649198,-1.16142,0.316042,-5.77776,-0.653092,-0.0252629,-3.16813,-1.10409,-0.387533,-5.56494
0.00152777,0.00186341,0.0577336,0.906338,-0.607425,5.62879,0.572014,-0.161871,3.16813,1.04825,0.0238356,5.41632
0.000394654,0.000900816,0.00434458,1.18949,1.41899,9.83554,0.454701,0.377424,3.16813,1.55983,0.885857,9.6011
0.000860564,0.000910462,0.0748876,-1.6531,0.919752,9.50882,-0.579393,0.196536,3.16813,-1.83515,0.274185,9.32257
0.000739644,0.000643679,0.0728379,0.114725,-0.90184,0.0469987,1.12375,-0.602807,0.163381,0.782729,0.398899,0.0558095
0.00102399,0.0023715,0.0735195,-0.857426,0.155619,-1.97189,-0.53749,1.1005,-3.16813,0.347544,0.685528,-1.79099
0.000457174,-0.000219752,0.016582,-1.16451,0.332702,-2.09464,-1.18973,-0.459051,-2.34969,-0.62933,-0.998698,-2.05265
0.00603768,-0.00965818,0.0566149,-1.04681,-0.541697,-0.280848,-0.515637,-1.16632,-0.266561,0.28526,-1.12315,-0.272482
0.000998798,-0.00261716,-0.042781,0.926432,0.085637,0.805261,0.864554,-0.937407,1.23124,-0.173256,-0.869906,0.767849
0.0164623,-0.0148506,0.0721825,0.866559,0.881531,-1.93184,1.26041,0.193785,-2.06169,1.04934,-0.525779,-1.88468
0.000367649,0.000719262,0.00443014,-0.275553,-1.21659,4.70027,0.126002,-0.809022,3.16813,0.594224,-1.0249,4.47695
-0.00956505,-0.00302901,0.0127975,0.326618,-0.912434,3.58987,0.598256,-0.547236,3.16813,0.879144,-0.219363,3.39054
0.0054605,-0.000332072,-0.0236612,0.194415,0.946089,2.63449,-0.498988,0.938944,3.16813,-0.767406,0.290381,2.28627
0.000237293,-0.000396565,0.0619098,0.84499,-0.384006,-2.52157,0.450151,-0.992475,-3.16813,-0.240642,-0.813178,-2.32381
0.00155535,-0.00658133,0.00902032,-0.796054,-0.0939594,0.158462,-0.383912,-1.21606,0.325141,0.583956,-0.516486,0.154812
0.049616,-0.0165827,0.0400033,0.271581,0.770968,0.574827,1.2574,0.212443,1.08891,0.508828,-0.605136,0.560662
-0.0041932,0.0395668,0.051547,0.749781,0.0944629,-1.06436,0.199307,1.25955,-2.2957,-0.632748,0.281747,-0.988683
0.00378193,-0.000782374,0.0838603,0.48797,1.05386,0.658428,1.14584,0.559675,0.861912,1.10503,-0.259149,0.641326
0.00399245,0.00104135,0.0163505,-0.232092,1.91653,1.80183,0.338123,1.22958,1.2349,1.15746,1.51607,1.78199
0.00621889,0.00138906,-0.0781304,-0.336747,2.50854,-1.00056,-0.52181,1.16357,-0.590164,-1.65596,1.8884,-0.993502
-0.0244756,-0.0219168,0.0115559,-1.06178,1.18497,-0.76952,-1.19902,0.434212,-0.620892,-1.56479,-0.15934,-0.761207
-0.00106983,-0.000906493,0.160251,-0.550893,0.63908,-1.8254,0.398198,1.20956,-3.16813,0.721252,0.167284,-1.65368
0.0531366,0.00671397,0.00762274,-0.236175,2.0358,-4.50734,0.34705,1.22709,-2.8109,1.11182,1.69351,-4.46582
0.00461361,-0.000274954,-0.00240887,0.618228,2.63581,-5.70457,-0.0482478,1.27431,-2.73474,-0.803776,2.5299,-5.63219
-0.0626376,0.00746131,-0.0727629,0.148226,1.38095,-3.07177,-0.5684,1.14154,-2.95294,-1.08872,0.798471,-3.00694
-0.020029,0.0110382,-0.181538,-0.356106,-0.709589,-2.06342,-0.999595,-0.290069,-3.16813,-0.626917,0.34433,-1.89712
0.000688844,0.000632309,0.00534055,-9.2405,9.97768,-4.18672,-0.936826,0.973749,-0.396695,-0.665237,0.691455,-0.281692
