pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,pt,phi,eta,charge,chi2,ndof
0.000715562,0.00053059,-0.0270977,-0.503878,0.0476679,0.862459,0.870641,3.04727,1.30286,-1,8.49726,11
0.000715931,0.00054281,-0.0523622,-0.972955,0.0620967,0.222492,1.54366,3.07786,0.226277,-1,6.20462,7
0.000718559,0.000581252,-0.0525121,-0.780611,0.0446692,0.623419,1.67378,3.08443,0.730578,-1,8.11064,8
0.000708533,0.000834629,-0.0668496,-0.185211,-0.00838961,0.982663,1.22421,-3.09633,2.36967,-1,23.1533,29
0.000853787,0.000612072,-0.0665619,0.0018782,-0.170093,0.985426,1.00749,-1.55975,2.45718,-1,30.389,23
0.000772526,0.000697628,-0.0432584,0.156565,-0.0915313,0.983417,1.32634,-0.529034,2.3921,1,19.5876,29
0.000816271,0.000570262,-0.0261285,0.0616595,0.146463,0.987293,1.16293,1.17233,2.52617,1,1.34147,1
0.00071918,0.000597359,0.0504957,-0.149725,0.193037,0.969701,1.08065,2.2305,2.08726,-1,33.3202,33
0.000692304,0.000834343,-0.0529857,-0.238649,-0.0296258,-0.970654,1.05575,-3.01808,-2.10348,1,31.9284,37
0.000699045,0.000698271,-0.0442956,-0.245431,-0.0613089,-0.967474,1.70213,-2.8968,-2.05123,-1,0.0861965,1
0.000867883,0.000525472,-0.0449268,-0.134588,-0.233605,-0.962972,1.00175,-2.09348,-1.98527,1,32.3584,35
0.000751439,0.000870586,-0.05253,0.216044,-0.0258914,-0.97604,1.36004,-0.119274,-2.20624,-1,25.3062,31
0.000870869,0.000631168,-0.0438822,-0.0292,0.205295,-0.978265,1.25257,1.71208,-2.25551,-1,30.3951,31
0.000712747,0.000607814,-0.0524622,-0.0941969,0.291938,-0.951787,2.65185,1.88291,-1.85044,1,47.0366,45
0.000724846,0.000609959,-0.0260825,-0.0592564,0.179616,-0.981951,2.8707,1.88946,-2.34936,1,40.359,35
0.000947561,0.000715459,-0.0266694,-0.112321,0.237577,-0.964853,1.21001,2.01243,-2.01182,1,35.6828,25
0.000683372,0.000590138,-0.026545,-0.112785,0.232245,-0.966096,1.47083,2.02288,-2.03014,1,16.5045,27
0.000679293,0.000583333,-0.0261507,-0.125234,0.210475,-0.969545,1.62779,2.10754,-2.08465,1,7.22847,15
0.000687144,0.000575218,-0.0266718,-0.145656,0.152947,-0.977441,4.57956,2.33178,-2.23672,1,23.0709,31
0.000713101,0.000598793,-0.0265085,-0.185546,0.174542,-0.96701,14.3798,2.38674,-2.04403,-1,32.517,35
0.00072936,0.000592965,-0.00239306,-0.830188,-0.190981,-0.52375,1.57055,-2.91548,-0.581493,-1,5.62282,7
0.000633947,0.000622659,-0.025235,-0.0752749,-0.505014,-0.859822,0.841471,-1.71876,-1.29266,1,13.8091,15
0.000803443,0.000809891,-0.00235444,0.286263,-0.110523,-0.951755,1.32295,-0.368457,-1.8501,1,3.13271,5
0.000839451,0.00062718,-0.0264611,0.134895,-0.882832,0.449901,4.06241,-1.41917,0.484576,-1,15.8559,13
0.000720532,0.00067337,-0.0265091,0.330697,0.0132495,-0.943644,1.63399,0.0400441,-1.77032,1,38.7961,39
0.000757391,0.000594265,-0.0263172,0.393355,0.89095,0.226892,0.967919,1.15503,0.23091,1,2.09995,3
0.000735995,0.000606205,-0.0263918,0.218521,0.881539,-0.418494,8.32338,1.32781,-0.445865,-1,3.83677,12
0.000707609,0.000598885,-0.0268925,-0.159595,0.234027,0.959042,0.924171,2.16931,1.93383,-1,40.2571,49
0.000741375,0.00059281,-0.0264828,-0.307619,-0.339111,0.88903,1.87223,-2.30754,1.41728,1,16.147,19
0.000665471,0.000562172,-0.0263535,-0.537351,0.655683,-0.530408,1.30228,2.25733,-0.590713,-1,15.1024,14
0.000763499,0.000613322,-0.0263212,0.0837206,-0.862083,0.499804,20.2468,-1.47399,0.549044,1,10.23,15
0.000723114,0.000609403,-0.0263177,0.0818625,-0.859444,0.504633,28.3568,-1.47583,0.555503,-1,5.46662,10
0.000691327,0.00066895,-0.0264187,0.565155,0.301605,-0.767876,0.966055,0.490218,-1.01513,1,9.03555,8
0.000808977,0.000538627,-0.0261782,0.555829,0.674194,0.486329,1.10932,0.881333,0.531241,-1,7.69043,14
0.000681651,0.000567687,-0.0262795,-0.708227,0.703951,-0.0535573,3.62143,2.35922,-0.0536086,-1,13.4068,14
0.000741191,0.000486312,-0.0266983,0.263846,0.0387992,0.963784,1.1933,0.146006,1.99656,1,33.2671,33
0.000646724,0.000608373,-0.0263881,-0.00473669,0.342937,-0.939347,3.22968,1.58461,-1.73247,-1,16.9616,23
0.000717373,0.0006128,-0.0526165,-0.447972,-0.492777,-0.745984,1.98863,-2.3086,-0.963838,-1,3.72547,6
0.000667171,0.000615652,-0.0526338,-0.0485083,-0.475319,0.878475,2.40548,-1.6725,1.36905,-1,21.3836,21
0.000680436,0.000570036,-0.0527436,-0.236334,0.233836,0.943116,0.929622,2.36151,1.76551,1,0.0658946,1
0.000646761,0.000844232,-0.0527776,-0.624679,-0.195968,-0.755892,0.813782,-2.83761,-0.98656,1,30.5974,14
0.000752145,0.000612838,-0.0530542,-0.0347271,0.428608,0.902823,0.822602,1.65164,1.48728,-1,16.6413,19
0.000846021,0.000594826,-0.0513215,-0.0610496,-0.49864,-0.864656,0.829475,-1.69262,-1.31151,-1,15.4522,15
0.000714475,0.000606496,-0.0525083,0.537939,-0.828735,-0.154338,1.64175,-0.995048,-0.155582,-1,13.6492,14
0.000707998,0.000487776,-0.0525975,0.908389,-0.0905694,-0.4082,1.67143,-0.0993749,-0.433449,1,4.0506,13
0.000694725,0.0006724,-0.0523384,-0.243913,-0.0999959,-0.964628,1.50006,-2.75252,-2.00857,-1,6.75848,7
0.000824489,0.000664678,-0.052003,0.0937548,-0.179551,-0.979271,1.53007,-1.08958,-2.27947,-1,29.5139,31
0.000436434,0.000681954,-0.0523953,-0.0652053,-0.257503,-0.964075,1.65579,-1.8188,-2.00067,1,9.32222,9
0.000684167,0.000612699,-0.0525636,-0.0162352,-0.235036,-0.971851,1.18891,-1.63976,-2.12461,1,24.3611,33
0.000732522,0.000605089,-0.00235105,-0.329344,-0.626181,0.706703,0.988721,-2.05499,0.880567,-1,5.81343,15
0.000728248,0.000613802,-0.00238264,0.848313,-0.41133,-0.333425,0.80657,-0.451478,-0.346677,-1,2.51796,7
0.000738477,0.000671162,-0.00230552,0.689467,-0.14026,0.710607,1.53658,-0.200694,0.88841,-1,8.87961,11
0.000780783,0.000648489,-0.0022364,-0.539829,0.745426,0.391057,1.60401,2.19757,0.413047,-1,1.9017,4
0.00074234,0.000566925,-0.00264026,-0.717301,-0.285646,0.635519,1.48956,-2.76262,0.750621,-1,12.2442,13
0.000776364,0.000561877,-0.00254044,-0.66507,-0.719822,-0.198844,0.777194,-2.31668,-0.201529,1,15.9631,16
0.00072468,0.000590301,-0.00211182,-0.913155,0.054843,0.403907,1.64742,3.08161,0.428309,1,7.64198,5
0.000723161,0.000663708,-0.0447206,0.495613,-0.0192451,0.86833,1.03623,-0.0388114,1.32625,-1,7.62852,7
0.000781953,0.000607864,-0.044044,0.0268993,0.77868,0.626845,0.913309,1.53627,0.736202,-1,6.74349,8
0.000314876,0.000637193,-0.0439626,-0.0214403,-0.318236,-0.947769,2.29249,-1.63807,-1.80938,1,29.1496,37
0.000482008,0.000371465,-0.0444512,0.202306,-0.202733,0.958108,1.06279,-0.786451,1.92232,-1,34.16,43
0.000700245,0.000596893,-0.0677676,0.381033,-0.504501,0.774785,1.42183,-0.923933,1.03219,-1,2.55201,1
0.000617102,0.000842635,-0.0678523,-0.914397,-0.399856,-0.0631979,0.768626,-2.72936,-0.0632822,-1,17.4204,13
0.00137304,0.000772208,-0.0661169,0.0801128,-0.324861,-0.942363,1.71794,-1.32901,-1.75875,1,1.81036,5
0.000433363,0.000525379,-0.0440986,-0.0710276,0.241334,-0.967839,1.23811,1.85703,-2.05697,-1,5.06069,3
0.000761018,0.000551001,-0.131894,0.331771,0.266565,-0.904915,0.968324,0.676849,-1.49871,-1,31.7481,35
0.000440081,0.000455421,-0.132485,0.157503,-0.271788,-0.949381,1.44128,-1.04558,-1.82547,1,31.7824,33
0.000674242,0.000807555,0.0500128,0.489506,0.1399,-0.860704,0.939435,0.278377,-1.29606,1,10.3027,21
0.000782031,0.000713588,-0.00200395,0.486741,-0.260837,-0.833695,1.47192,-0.491943,-1.20013,1,17.9205,14
0.000726577,0.000457378,-0.0210048,0.36374,0.00693139,-0.931475,1.18101,0.0190536,-1.66942,-1,7.93908,9
0.000733457,0.000600469,0.0127776,0.735719,0.576236,0.355905,0.989575,0.664431,0.372189,-1,0.870096,3
0.00188006,-0.000624866,-0.0394215,-0.156654,-0.147108,0.976637,1.60928,-2.38761,2.21899,1,23.7825,27
0.000874576,0.000894655,-0.042089,-0.156132,0.0839761,-0.98416,1.45629,2.64812,-2.41521,1,4.9667,5
-6.69561e-06,0.00501251,-0.0793263,-0.390372,-0.0642543,0.918412,1.11045,-2.97846,1.57879,1,7.28043,11
0.009507,0.00985827,-0.0802819,0.606062,-0.57613,-0.548418,0.958664,-0.760084,-0.616117,-1,2.91076,13
-0.00252844,-0.00903952,-0.0504294,0.4971,-0.167361,0.8514,0.803824,-0.324754,1.26122,1,5.50989,8
